courseCode,cohortSize,Campus
ARTX09073,80,*Lauriston
ARTX09073,80,*Lauriston
ARTX09073,80,*Lauriston
ARTX09073,80,0
ARTX09073,80,0
ARTX09073,80,*Lauriston
ARTX10037,89,*Lauriston
ARTX10037,89,*Lauriston
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*George Square/Buccleuch
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Lauriston
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*George Square/Buccleuch
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*George Square/Buccleuch
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Lauriston
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10037,89,*Central
ARTX10038,89,0
ARTX10038,89,0
ARTX10048,85,*Holyrood
ARTX10048,85,*Holyrood
ARTX10048,85,*Holyrood
ARTX10048,85,*Holyrood
ARTX10048,85,*Holyrood
ARTX10048,85,*Holyrood
ARTX10048,85,0
ARTX10048,85,*Holyrood
ARTX10048,85,*Holyrood
ARTX10054,22,*Lauriston
ARTX10054,22,*Lauriston
ARTX10054,22,*Lauriston
ARTX10054,22,*Lauriston
ARTX10054,22,*Lauriston
ARTX10054,22,0
ARTX10054,22,0
ARTX10054,22,0
ARTX10054,22,0
ARTX10054,22,0
ARTX10054,22,0
ARTX10059,24,*George Square/Buccleuch
ARTX10059,24,*George Square/Buccleuch
ARTX10064,44,*Central
ARTX10064,44,0
ARTX10064,44,*Central
ARTX10066,25,*George Square/Buccleuch
ARTX10069,78,*Central
ARTX10069,78,0
ARTX10069,78,0
ARTX10069,78,0
ARTX10069,78,0
ARTX11033,23,*Central
ARTX11033,23,*Central
ARTX11033,1,*Central
ARTX11033,1,*Central
ARTX11036,23,*Lauriston
ARTX11036,23,*Lauriston
ARTX11036,23,*Lauriston
ARTX11036,23,*Lauriston
ARTX11036,1,*Lauriston
ARTX11036,1,*Lauriston
ARTX11036,1,*Lauriston
ARTX11036,1,*Lauriston
ARTX11044,44,*George Square/Buccleuch
ARTX11044,44,*Central
ARTX11044,44,*Lauriston
ARTX11044,44,*Holyrood
ASST07008,114,*George Square/Buccleuch
